브랜드,SKU ID,SKU 명,등록가,pid,iid,vid,url,플래그,메모
건우코리아,69118150,GUNU 잘라쓰는 일회용 롤 식탁보 1.37M x 30 M 1개,17730,,,,https://www.coupang.com/vp/products/9326216814?itemId=27645775039&vendorItemId=94608331823,신규,
건우코리아,69169516,GUNU 일회용 위생 식탁보 100x140cm 115장 1개,12380,,,,https://www.coupang.com/vp/products/9328630808?itemId=27655304452&vendorItemId=94617670848,신규,
건우코리아,69169515,GUNU 감성 홈카페 식탁 테이블보 스카이체크 90 x 90 cm 1개,7570,,,,https://www.coupang.com/vp/products/9328630821?itemId=27655304507&vendorItemId=94617670876,신규,
건우코리아,69638870,"GUNU 대용량 피크닉 등산 보온 보냉 이유식 기저귀 가방 로맨스블루 1개, Free",26900,,,,https://www.coupang.com/vp/products/9360581253?itemId=27773796764&vendorItemId=94734227041,신규,
건우코리아,69638871,"GUNU 대용량 피크닉 등산 보온 보냉 이유식 기저귀 가방 쉘핑크 1개, Free",26900,,,,https://www.coupang.com/vp/products/9360581253?itemId=27773796766&vendorItemId=94734227042,신규,
건우코리아,69638873,"GUNU 대용량 도시락 보온 보냉 예쁜 기저귀 이유식 가방 코랄핑크 1개, Free",17900,,,,https://www.coupang.com/vp/products/9360581248?itemId=27773796742&vendorItemId=94734227025,신규,
건우코리아,69638874,"GUNU 대용량 도시락 보온 보냉 예쁜 기저귀 이유식 가방 스카이블루 1개, Free",17900,,,,https://www.coupang.com/vp/products/9360581248?itemId=27773796745&vendorItemId=94734227026,신규,
건우코리아,69638875,"GUNU 보온 보냉 직장인 도시락 가방 아이보리 1개, Free",13900,,,,https://www.coupang.com/vp/products/9360581252?itemId=27773796761&vendorItemId=94734227043,신규,
건우코리아,69638876,"GUNU 보온 보냉 직장인 도시락 가방 네이비 1개, Free",13900,,,,https://www.coupang.com/vp/products/9360581252?itemId=27773796763&vendorItemId=94734227045,신규,
건우코리아,69638877,GUNU 보온 보냉 직장인 방수 도시락 수납 가방 블랙 S 1개,10500,,,,https://www.coupang.com/vp/products/9360581251?itemId=27773796753&vendorItemId=94734227033,신규,
건우코리아,69638879,GUNU 보온 보냉 직장인 방수 도시락 수납 가방 블랙 L 1개,12500,,,,https://www.coupang.com/vp/products/9360581251?itemId=27773796755&vendorItemId=94734227034,신규,
건우코리아,69628946,GUNU 잘라쓰는 일회용 롤도마 30cm X 10m 투명,7070,,,,https://www.coupang.com/vp/products/9359585329?itemId=27770819216&vendorItemId=94731294562,신규,
건우코리아,69713114,"GUNU 보온 보냉 직장인 방수 3중 도시락 가방 블랙 1개, Free",15900,,,,https://www.coupang.com/vp/products/9366525833?itemId=27795236303&vendorItemId=94755401664,신규,
건우코리아,69713115,"GUNU 보온 보냉 직장인 방수 3중 도시락 가방 카키 1개, Free",15900,,,,https://www.coupang.com/vp/products/9366525833?itemId=27795236308&vendorItemId=94755401663,신규,
